"","playerID","yearID","stint","teamID","lgID","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP"
"1","aasedo01",1980,1,"CAL","AL",40,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"2","abbotgl01",1980,1,"SEA","AL",31,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"3","adamsgl01",1980,1,"MIN","AL",99,262,32,75,11,2,6,38,2,4,15,26,"1","0","6","4","11"
"4","aguaylu01",1980,1,"PHI","NL",20,47,7,13,1,2,1,8,1,1,2,3,"0","0","0","1","0"
"5","aikenwi01",1980,1,"KCA","AL",151,543,70,151,24,0,20,98,1,0,64,88,"3","7","0","9","23"
"6","aingeda01",1980,1,"TOR","AL",38,111,11,27,6,1,0,4,3,0,2,29,"0","1","1","0","3"
"7","alexado01",1980,1,"ATL","NL",35,83,7,15,3,0,0,3,0,0,3,24,"0","0","3","0","1"
"8","alexaga01",1980,1,"CLE","AL",76,178,22,40,7,1,5,31,0,4,17,52,"1","0","0","3","9"
"9","alexama01",1980,1,"PIT","NL",37,3,13,1,1,0,0,0,10,3,0,0,"0","0","0","0","0"
"10","allarbr01",1980,1,"TEX","AL",5,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"11","allenga01",1980,1,"BOS","AL",36,70,9,25,6,0,0,10,2,2,13,11,"0","0","1","1","1"
"12","allenki01",1980,1,"SEA","AL",23,51,9,12,3,0,0,3,10,3,8,3,"2","1","2","0","1"
"13","allenne01",1980,1,"NYN","NL",59,14,0,2,0,0,0,0,0,0,1,7,"0","0","1","0","0"
"14","almonbi01",1980,1,"MON","NL",18,38,2,10,1,1,0,3,0,0,1,5,"0","0","0","1","2"
"15","almonbi01",1980,2,"NYN","NL",48,112,13,19,3,2,0,4,2,0,8,27,"1","0","0","0","0"
"16","alstode01",1980,1,"CLE","AL",52,54,11,12,1,2,0,9,2,4,5,7,"2","2","1","2","1"
"17","anderji01",1980,1,"SEA","AL",116,317,46,72,7,0,8,30,2,4,27,39,"1","3","6","2","5"
"18","anderri01",1980,1,"SEA","AL",5,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"19","andujjo01",1980,1,"HOU","NL",35,29,3,5,0,1,1,3,0,0,3,16,"0","0","5","0","1"
"20","apontlu01",1980,1,"BOS","AL",4,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
